id,type,sectionId,sectionName,webPublicationDate,webTitle,webUrl,apiUrl,fields,isHosted,pillarId,pillarName
news/2020/mar/25/the-new-isolation-inside-the-27-march-edition-of-the-guardian-weekly,article,news,News,2020-03-25T09:00:54Z,The new isolation: inside the 27 March edition of the Guardian Weekly,https://www.theguardian.com/news/2020/mar/25/the-new-isolation-inside-the-27-march-edition-of-the-guardian-weekly,https://content.guardianapis.com/news/2020/mar/25/the-new-isolation-inside-the-27-march-edition-of-the-guardian-weekly,"{'headline': 'The new isolation: inside the 27 March edition of the Guardian Weekly', 'body': '<p>It has been another extraordinary week and we have another special edition of the Weekly devoted to the outbreak and its impact on global society. We begin in London, where Observer writer <a href=""https://www.theguardian.com/profile/timadams"">Tim Adams</a> braces for the new reality of life under lockdown. How much, he asks, of the fabric of normal life can you take away before things fall apart? Similarly, <a href=""https://www.theguardian.com/profile/victoria-bekiempis"">Victoria Bekiempis</a> took to the streets of Manhattan as New York City braced for its own shutdown.</p> <p>We look again at the science behind controlling the virus, with Guardian Australia’s <a href=""https://www.theguardian.com/profile/melissa-davey"">Melissa Davey</a> asking scientists about the difficulties of modelling its spread. Former Guardian environment editor <a href=""https://www.theguardian.com/profile/johnvidal"">John Vidal</a> considers the connection between wildlife habitat destruction and viruses that have transferred from animals to humans, such as Covid-19.</p> <p>Later, economics editors <a href=""https://www.theguardian.com/profile/larryelliott"">Larry Elliott</a> and <a href=""https://www.theguardian.com/profile/phillipinman"">Phillip Inman</a> look respectively at the possible destruction of the eurozone and the similarities with the Great Depression of 1929 onwards. <a href=""https://www.theguardian.com/profile/jasonburke"">Jason Burke</a> and colleagues look at the situation in Africa where a continent is bracing for further impact. Then, <a href=""https://www.theguardian.com/profile/lily-kuo"">Lily Kuo</a> – our Beijing bureau chief – reports from China, as restrictions are slowly eased in Hubei province, where the outbreak began.</p> <p>In the US, we meet Americans whose jobs have been lost to the crisis already and <a href=""https://www.theguardian.com/profile/davidsmith"">David Smith</a> reports on Donald Trump’s latest violent policy swing when it comes to the virus: in this case, pushing back against the lockdown to protect the economy.</p> <p>There’s more from Larry Elliott in Opinion, alongside <a href=""https://www.theguardian.com/profile/georgemonbiot"">George Monbiot</a> on the failures of the British, Australian and US governments in the face of this existential crisis.</p> <p>Finally, we have a nine-page <a href=""https://www.theguardian.com/uk/culture"">cultural</a> isolation guide, featuring the best boxsets, movies, theatre, concerts, podcasts and video games to enjoy without leaving the house.</p> <p>There’s also plenty of non-Covid-19 content to give you something else to think about. Including good news about the Andean bears that provided inspiration for Paddington.</p> <p><a href=""https://support.theguardian.com/uk/subscribe/weekly?promoCode=WWM62X"">Subscribe here</a></p>', 'publication': 'theguardian.com'}",False,pillar/news,News
news/2020/mar/24/corrections-and-clarifications,article,news,News,2020-03-24T21:00:39Z,Corrections and clarifications,https://www.theguardian.com/news/2020/mar/24/corrections-and-clarifications,https://content.guardianapis.com/news/2020/mar/24/corrections-and-clarifications,"{'headline': 'Corrections and clarifications', 'body': '<p>• An article referred to “Britain’s trains” in relation to the government’s suspension of rail franchises when the Department for Transport’s announcement related to England only (<a href=""https://www.theguardian.com/world/2020/mar/23/covid-19-government-suspends-rail-franchise-agreements"" title="""">Trains nationalised for at least six months to avoid franchise failures</a>, 24 March, page 14).</p> <p>• An article (<a href=""https://www.theguardian.com/world/2020/mar/23/uk-doctors-stuck-abroad-criticise-foreign-office-lack-help"" title="""">UK travellers: Get home right now, warns Raab</a>, 24 March, page 2) incorrectly placed Wellington in New Zealand’s South Island; the country’s capital is at the southern tip of the North Island.</p> <p>• Other recently amended articles include:</p> <p><a href=""https://www.theguardian.com/world/2020/mar/19/former-london-bankers-convicted-after-germany-greatest-tax-robbery"" title="""">Former London bankers convicted after Germany’s ‘greatest tax robbery’</a></p> <p><a href=""https://www.theguardian.com/world/2020/mar/22/croatia-earthquake-causes-widespread-damage-zagreb"" title="""">Zagreb hit by earthquake while in coronovirus lockdown</a></p> <p><a href=""https://www.theguardian.com/world/2020/mar/21/police-vow-to-enforce-coronavirus-pub-ban-as-some-in-uk-continue-to-gather"" title="""">Police vow to enforce virus pub ban as some in UK continue to gather</a></p> <p><a href=""https://www.theguardian.com/world/2020/mar/17/us-states-improvise-coronavirus-trump-federal-leadership-absent"" title="""">US states improvise rules to combat coronavirus in absence of federal leadership</a></p> <p><a href=""https://www.theguardian.com/music/2020/mar/15/genesis-p-orridge-troubling-catalyst-who-loathed-rock-yet-changed-it-for-ever"" title="""">Genesis P-Orridge: troubling catalyst who loathed rock yet changed it forever</a></p> <p><a href=""https://www.theguardian.com/us-news/2019/oct/16/conservative-activists-want-to-outlaw-antisemitism-in-public-education-why-is-that-a-bad-thing"" title="""">Revealed: rightwing push to suppress criticism of Israel on US campuses</a></p> <p><a href=""https://www.theguardian.com/us-news/2020/feb/29/brooklyn-college-volleyball-yeshiva-university-kneel-national-anthem"" title="""">New York: college volleyball players kneel during Israeli national anthem</a></p>', 'publication': 'The Guardian'}",False,pillar/news,News
news/2020/mar/19/corrections-and-clarifications,article,news,News,2020-03-19T21:00:03Z,Corrections and clarifications,https://www.theguardian.com/news/2020/mar/19/corrections-and-clarifications,https://content.guardianapis.com/news/2020/mar/19/corrections-and-clarifications,"{'headline': 'Corrections and clarifications', 'body': '<p>• An article said that Deliveroo riders who chose to self-isolate following medical advice were among those who would be offered more than statutory sick pay for up to two weeks. This was based on incorrect information issued by Deliveroo, which has since clarified that the offer is for riders who have verifiably contracted the virus or been told to self-isolate by a medical authority (<a href=""https://www.theguardian.com/world/2020/mar/16/coronavirus-unions-attack-paltry-sick-pay-for-self-isolating-couriers"" title="""">Fears firms’ plans force couriers to work on</a>, 16 March, page 7).</p> <p>• The French president pledged to suspend rents and utility bills for businesses during the coronavirus crisis, not for households as we reported (<a href=""https://www.theguardian.com/world/2020/mar/16/coronavirus-spain-takes-over-private-healthcare-amid-more-european-lockdowns"" title="""">‘This is war,’ says Macron as France locks down and EU bans foreigners</a>, 17 March, page 8).</p> <p>• Other recently amended articles include:</p> <p><a href=""https://www.theguardian.com/world/2020/mar/04/germany-tweets-to-deter-syrian-refugees-fearing-repeat-of-2015"" title="""">Germany tweets to deter Syrian refugees, fearing ‘repeat of 2015’</a></p> <p><a href=""https://www.theguardian.com/education/2020/mar/10/society-level-up-ruling-eton-winchester-clique-down"" title="""">Before society can ‘level up’, the ruling Eton-Winchester clique needs levelling down</a></p> <p><a href=""https://www.theguardian.com/world/2020/mar/18/can-i-have-sex-a-guide-to-intimacy-during-the-coronavirus-outbreak"" title="""">Can I have sex? A guide to intimacy during the coronavirus outbreak</a></p>', 'publication': 'The Guardian'}",False,pillar/news,News
news/2020/mar/18/the-race-for-a-cure-inside-the-20-march-edition-of-the-guardian-weekly,article,news,News,2020-03-18T09:00:20Z,The race for a cure: inside the 20 March edition of the Guardian Weekly,https://www.theguardian.com/news/2020/mar/18/the-race-for-a-cure-inside-the-20-march-edition-of-the-guardian-weekly,https://content.guardianapis.com/news/2020/mar/18/the-race-for-a-cure-inside-the-20-march-edition-of-the-guardian-weekly,"{'headline': 'The race for a cure: inside the 20 March edition of the Guardian Weekly', 'body': '<p>Everything seems normal until, suddenly, it isn’t. The global crisis caused by the coronavirus outbreak has transformed life as we know it and will continue to do so. With hundreds of thousands of deaths likely and countries across the world in lockdown, the impact of coronavirus is as upsetting to consider as it mind-boggling to grasp.</p> <p>In this week’s special edition of the magazine, we first look at the science of the virus. To begin, Laura Spinney, author of <a href=""https://www.theguardian.com/books/2017/jul/22/pale-rider-laura-spinney-review"">Pale Rider: The Spanish Flu of 1918 and How it Changed the World</a>, unpicks the complicated race to discover an effective vaccine that can be mass-produced. Then, Graham Readfearn looks at what the virus does to our bodies, while health editor Sarah Boseley and science correspondent Hannah Devlin lay out the facts we know so far about the virus.</p> <p>After that, we consider the global response beginning with Simon Tisdall’s analysis of how world leaders – autocrats and democrats alike – have been caught in the headlights. Then, David Smith, our man in Washington, looks at how Donald Trump has been found more wanting than most. Sarah Boseley analyses why the UK made a dramatic shift in its virus strategy on Monday.</p> <p>We then head to northern Italy where the writer Tobias Jones and his family have been living under lockdown for a fortnight in Parma, and Barney Ronay wonders what we will do without sport, one of life’s great distractions. There is more on the crisis throughout the magazine.</p> <p><a href=""https://support.theguardian.com/uk/subscribe/weekly?promoCode=WWM62X"">Subscribe here</a></p>', 'publication': 'theguardian.com'}",False,pillar/news,News
news/2020/mar/12/corrections-and-clarifications,article,news,News,2020-03-12T21:00:41Z,Corrections and clarifications,https://www.theguardian.com/news/2020/mar/12/corrections-and-clarifications,https://content.guardianapis.com/news/2020/mar/12/corrections-and-clarifications,"{'headline': 'Corrections and clarifications', 'body': '<p>• An article about the coronavirus outbreak wrongly said a death had been confirmed in “St Helier, Jersey”. As later editions noted, that case was at St Helier hospital in the London borough of Sutton (<a href=""https://www.theguardian.com/business/2020/mar/09/global-stock-markets-post-biggest-falls-since-2008-financial-crisis"" title="""">Stock market meltdown as virus fears trigger sell-off</a>, 10 March, page 2).</p> <p>• People on zero-hours contracts can get statutory sick pay if they meet certain conditions, contrary to advice given in a feature (<a href=""https://www.theguardian.com/money/2020/mar/07/coronavirus-work-shopping-sick-pay-self-isolate-supermarket-deliver"" title="""">Holidays, pensions, events, jobs: what it means for you</a>, 7 March, page 40).</p> <p>• Other recently amended articles include:</p> <p><a href=""https://www.theguardian.com/world/2020/mar/09/british-couple-contract-virus-on-flight-from-heathrow-to-vietnam"" title="""">Coronavirus: British couple on holiday ‘left infections everywhere’</a></p> <p><a href=""https://www.theguardian.com/uk-news/2020/feb/22/flat-owners-manchester-face-huge-bills-for-new-cladding"" title="""">‘It’s felt life-ruining’: flat owners face huge bills for new cladding</a></p> <p><a href=""https://www.theguardian.com/fashion/2020/mar/12/i-wear-my-grandads-old-boxers-meet-the-people-who-havent-bought-clothes-for-a-decade"" title="""">‘I wear my grandad’s old boxers’: meet the people who haven’t bought clothes for a decade</a></p> <p><a href=""https://www.theguardian.com/football/2020/mar/09/football-transfer-rumours-dean-henderson-or-ter-stegen-to-chelsea"" title="""">Football transfer rumours: Chelsea target Henderson and Ter Stegen?</a></p> <p><a href=""https://www.theguardian.com/us-news/2020/mar/10/neil-young-endorses-bernie-sanders-every-point-he-makes-is-what-i-believe-in"" title="""">Neil Young endorses Bernie Sanders: ‘Every point he makes is what I believe in’</a></p> <p><a href=""https://www.theguardian.com/fashion/2020/mar/03/kim-novak-having-fat-injections-in-my-cheeks-was-the-worst-thing-i-could-have-done"" title="""">Kim Novak: ‘Alfred Hitchcock paid so much attention to how he dressed his actors - I’m definitely influenced by him’</a></p> <p><a href=""https://www.theguardian.com/food/2020/mar/12/larder-living-10-best-store-cupboard-recipes"" title="""">Larder living: 10 of the best store cupboard recipes – from chilli to pizza</a></p>', 'publication': 'The Guardian'}",False,pillar/news,News
news/2020/mar/11/the-comeback-kid-joe-biden-gets-his-groove-back-inside-the-13-march-guardian-weekly,article,news,News,2020-03-11T09:20:43Z,The comeback kid: Joe Biden – inside the 13 March Guardian Weekly,https://www.theguardian.com/news/2020/mar/11/the-comeback-kid-joe-biden-gets-his-groove-back-inside-the-13-march-guardian-weekly,https://content.guardianapis.com/news/2020/mar/11/the-comeback-kid-joe-biden-gets-his-groove-back-inside-the-13-march-guardian-weekly,"{'headline': 'The comeback kid: Joe Biden gets his groove back – inside the 13 March Guardian Weekly', 'body': '<p><a href=""https://www.theguardian.com/world/coronavirus-outbreak/all"">Covid-19</a> continues to wreak havoc around the world – with Italy on lockdown and the global economy in turmoil. This week, we look at how the virus preys upon human error in order to spread; explore how China appears to have got a grip on the virus; look at reasons to be cautiously optimistic; round up some of the key disruptions so far and look at how a town in Colorado escaped the Spanish flu pandemic in 1918.</p> <p>After the Iowa caucus and New Hampshire primary, former US vice-president Joe Biden looked finished in the race to take on Donald Trump in November. No more! The new comeback kid, boosted by black voters in the American south, swept Super Tuesday – and this week won another string of key primaries, including the vital state of Michigan, in a major blow to his rival, Bernie Sanders (check out <a href=""https://www.theguardian.com/us-news/us-elections-2020"">the latest news here</a>). Adam Gabbatt headed to Biden’s hometown of Scranton, Pennsylvania, to find out why the future now looks so bright for Biden.</p> <p>In Opinion, Ai Weiwei laments China’s other illness: authoritarianism. Yair Wallach suggests that after yet another inconclusive Israeli election, Palestinian voters now hold the balance of power and Moira Donegan is moved by the end of Elizabeth Warren’s campaign – proof, she fears, that the United States will not elect a female president.</p> <p>Last week the Guardian launched <a href=""https://www.theguardian.com/world/series/this-is-europe"">This is Europe</a>, our new strand of reporting dedicated to covering the continent in a post-Brexit world. In this edition we have more from the series, including an exclusive interview with Volodymyr Zelenskiy. The Ukrainian president tells Andrew Roth and Shaun Walker about his wild ride from TV comic to real-life president – via a starring role in Trump’s impeachment). We also feature a report on the rise and fall of Golden Dawn, the Greek neo-Nazis who became a genuine political force and, in Culture, Ellen E Jones dons her fair isle jumper and investigates the new wave of Nordic TV, before Peter Bradshaw examines how an exceptional generation of Polish filmmakers are pushing back against an exceptionally conservative government.</p> <p><a href=""https://support.theguardian.com/uk/subscribe/weekly?promoCode=WWM62X"">Subscribe here</a></p>', 'publication': 'theguardian.com'}",False,pillar/news,News
news/2020/mar/09/corrections-and-clarifications,article,news,News,2020-03-09T21:00:13Z,Corrections and clarifications,https://www.theguardian.com/news/2020/mar/09/corrections-and-clarifications,https://content.guardianapis.com/news/2020/mar/09/corrections-and-clarifications,"{'headline': 'Corrections and clarifications', 'body': '<p>• Due to an error in the information supplied, a picture accompanying Friday’s coronavirus coverage was described as showing “St Thomas’ hospital’s virus pod”. The pictured pod was elsewhere in London, at University College hospital (page 8).</p> <p>• A <a href=""https://www.theguardian.com/business/shortcuts/2020/mar/04/ceo-transformed-company-setting-54k-minimum-wage-dan-price-gravity-payments-took-1m-salary-cut"">Pass notes column</a> incorrectly stated that all staff at the financial services company Gravity Payments were paid $70,000. This is the minimum salary paid to employees (4 March, page 2, G2).</p> <p>• Other recently amended articles include:</p> <p><a href=""https://www.theguardian.com/world/2020/mar/07/coronavirus-reasons-to-be-reassured"" title="""">Coronavirus: nine reasons to be reassured</a></p> <p><a href=""https://www.theguardian.com/commentisfree/2020/mar/03/icu-doctor-nhs-coronavirus-pandemic-hospitals"" title="""">I’m an ICU doctor. The NHS isn’t ready for the coronavirus crisis</a></p> <p><a href=""https://www.theguardian.com/world/2020/mar/05/javier-perez-de-cuellar-obituary"" title="""">Javier Pérez de Cuéllar obituary</a></p> <p><a href=""https://www.theguardian.com/books/2020/mar/06/bard-labour-read-poetry-to-boost-workplace-productivity-experts-say"" title="""">Bard labour: boost workplace productivity ‘by reading a poem’</a></p> <p><a href=""https://www.theguardian.com/business/2020/mar/05/bridgend-braces-fallout-ford-factory-closure-wales"" title="""">‘It’s scary’: Bridgend braces for fallout from Ford factory closure</a></p>', 'publication': 'The Guardian'}",False,pillar/news,News
news/2020/mar/09/nazanin-zaghari-ratcliffes-health-improves-despite-coronavirus-fears,article,news,News,2020-03-09T08:24:50Z,Nazanin Zaghari-Ratcliffe's health improves despite coronavirus fears,https://www.theguardian.com/news/2020/mar/09/nazanin-zaghari-ratcliffes-health-improves-despite-coronavirus-fears,https://content.guardianapis.com/news/2020/mar/09/nazanin-zaghari-ratcliffes-health-improves-despite-coronavirus-fears,"{'headline': ""Nazanin Zaghari-Ratcliffe's health improves despite coronavirus fears"", 'body': '<p>Nazanin Zaghari-Ratcliffe’s health is improving after fears last week that she had contracted coronavirus while in prison in Tehran.</p> <p>However, her family have said she has not been tested and a <a href=""https://www.theguardian.com/news/2020/mar/03/iran-offers-nazanin-zaghari-ratcliffe-temporary-jail-release-coronavirus"">promise of temporary release</a> made last week by prison officers has not materialised, causing her deep distress.</p> <p>Many prisoners in Iran are being released temporarily amid fears that the disease will spread rapidly inside prisons if it takes a grip, but the offer of release applies only to prisoners with sentences of less than five years. Most political prisoners are serving longer sentences.</p> <p>Following the suggestion that she was to be released, Zaghari-Ratcliffe went so far as to pack her bags in preparation last Wednesday. Her husband, Richard Ratcliffe, accused the Iranians of playing mind games and urged the British government to demand her full release.</p> <p>In a lengthy statement released by the Free Nazanin campaign, Ratcliffe said: “[The doctor] confirmed to her that her symptoms were clearly a virus and were consistent with coronavirus but he also confessed he was unable to test her with a testing kit.</p> <p>“The doctor, however, did reassure Nazanin that since her symptoms had stabilised it was likely a positive sign that she was hopefully soon going to start to recover.” Zaghari Ratcliffe saw the doctor last Monday soon after her husband had <a href=""https://www.theguardian.com/news/2020/feb/29/nazanin-zaghari-ratcliffe-family-believe-she-has-coronavirus"">raised fears about her symptoms</a>.</p> <p>She was told last Wednesday by the deputy prosecutor that she was being considered for temporary release by the prosecutor, and informed her release could happen either later that day or Thursday. </p> <p>But over the weekend she was informed that her release was not imminent. Six other prisoners have been released from her ward, and four given a date for their release. </p> <p>Reflecting on the impact on her family in Britain, the campaign said: “The effect is a kind of gaslighting, raising hopes before promises are not kept, and then a kind of guilt and self-blame, as the regime manages another distraction and avoids accountability for its acts of abuse.</p> <p>“Cumulatively the experience is not just cruel and degrading. The cumulative effect – of promising to release and failing to do so, again and again – is a kind of mental torture. That is its design.</p> <p>“The fact Nazanin’s temporary release has not happened when promised so publicly indicates blockages and offstage power games – between different parts of the Iranian regime, between Iran and the UK.”</p> <p>Ratcliffe said: “Dangling publicly the idea of furlough without yet carrying it through has been an act of media management by the Iranian authorities. It has aimed at distracting media attention from the refusal to test for coronavirus, and the fact thousands of prisoners, including British ones, have just been left in harm’s way.”</p> <p>Ratcliffe expressed anger that some UK government ministers had repeated false Iranian government claims that she had been tested.</p> <p>Zaghari-Ratcliffe was sentenced to five years in prison over allegations, which she denies, of plotting to overthrow the Tehran government.</p> <p>Last week a Foreign Office spokesman said: “We are urgently seeking information from the Iranian authorities on reports that coronavirus is spreading in Evin prison. We call on the Iranian government to immediately allow health professionals into Evin prison to assess the situation of British-Iranian dual nationals there.”</p>', 'publication': 'The Guardian'}",False,pillar/news,News
news/2020/mar/05/corrections-and-clarifications,article,news,News,2020-03-05T21:00:17Z,Corrections and clarifications,https://www.theguardian.com/news/2020/mar/05/corrections-and-clarifications,https://content.guardianapis.com/news/2020/mar/05/corrections-and-clarifications,"{'headline': 'Corrections and clarifications', 'body': '<p>• In early editions of Thursday’s paper, a front-page article (<a href=""https://www.theguardian.com/world/2020/mar/04/move-to-weekly-uk-coronavirus-updates-criticised-by-experts"" title="""">Government accused of secrecy over virus spread</a>, 5 March, page 1) was wrong to say that Public Health England (PHE) had made the decision to only release weekly information about the location of new coronavirus cases. The decision was announced by the chief medical officer for England on the Department of Health and Social Care website. In addition, the piece quoted Prof John Ashton, a former regional director of PHE, but misnamed him as Paul Ashford.</p> <p>• Other recently amended articles include:</p> <p><a href=""https://www.theguardian.com/world/2020/mar/04/ockhams-erase-her-frontrunner-elizabeth-knox-doesnt-make-books-award-shortlist"" title="""">Ockhams erase her: surprise as Elizabeth Knox left off books award shortlist</a></p> <p><a href=""https://www.theguardian.com/us-news/2019/jul/05/maine-homeless-people-tents-camping-gear-belfast-waldo-county"" title="""">Maine town offers homeless people tents as it faces affordable housing shortage</a></p> <p><a href=""https://www.theguardian.com/tv-and-radio/2020/feb/26/i-had-to-develop-a-thick-skin-gemma-collins-on-towie-trolls-and-life-as-a-tabloid-underdog"" title="""">‘People think I bathe in asses’ milk’: how Towie’s Gemma Collins became a podcast hit</a></p> <p><a href=""https://www.theguardian.com/world/2020/mar/04/baby-bonuses-fit-the-nationalist-agenda-but-do-they-work"" title="""">‘Baby machines’: eastern Europe’s answer to depopulation</a></p> <p><a href=""https://www.theguardian.com/uk-news/2020/feb/20/over-half-of-uk-women-killed-by-men-die-hands-current-ex-partner"" title="""">Over half of UK women killed by men die at hands of partner or ex</a></p>', 'publication': 'The Guardian'}",False,pillar/news,News
news/2020/mar/04/inside-the-6-march-guardian-weekly-coronavirus,article,news,News,2020-03-04T09:00:37Z,The 6 March Guardian Weekly: coronavirus – the worst-case scenario,https://www.theguardian.com/news/2020/mar/04/inside-the-6-march-guardian-weekly-coronavirus,https://content.guardianapis.com/news/2020/mar/04/inside-the-6-march-guardian-weekly-coronavirus,"{'headline': 'Inside the 6 March edition of the Guardian Weekly: coronavirus – the worst-case scenario', 'body': '<p>We first reported on a mystery illness in the Chinese city of Wuhan at the start of January. Since then, the virus has spread around the world, killing more than 3,000 people and causing economic chaos. A week after experts warned of a potential tipping point, the World Health Organization said the planet was in “uncharted territory” but the growing epidemic could be contained with the right measures.</p> <p>In this week’s cover story, we look at some of the past week’s big developments, while Peter Beaumont reports on how the virus spread around Europe from northern Italy. And economics correspondent Richard Partington ponders the role that fiscal protectionism plays in impeding efforts to stop its spread.</p> <p>For many Britons, the decision to leave the European Union felt almost like a physical removal from the rest of the continent. Britain may be a more insular country than it was on 30 January, but it remains part of Europe. That is partly why the Guardian has launched <a href=""https://www.theguardian.com/world/series/this-is-europe"">This is Europe</a>, an ongoing commitment to reporting on the challenges facing Europe – from perspectives both British and not.</p> <p>The series begins this week with a fascinating report from our European team on the hollowing out of some EU member states, as young people leave the regions to live in major cities or wealthier nations. What impact, for instance, will eastern Germany’s low percentage of young adults have on the region’s infrastructure and politics? </p> <aside class=""element element-rich-link element--supporting""> <p> <span>Related: </span><a href=""https://www.theguardian.com/world/2020/mar/02/britain-is-leaving-europe-the-guardian-is-not"">Britain is leaving Europe. The Guardian is not | Katharine Viner</a> </p> </aside>  <p>Later in the magazine you’ll find more This is Europe content including Timothy Garton Ash on the future of Europe (including Britain) as a superpower and Alexis Petridis, our chief music critic, on the end of a legendary Berlin club night.</p> <p>The near decade-long war in Syria is approaching its final stages, with Russia and Turkey exchanging fire.<strong> </strong>Middle East correspondent Martin Chulov analyses attacks by the Russians on Turkish troops and Turkey’s response attacks on the Syrian national army.</p> <p>Another key development in the region last week was Ankara’s decision not to stop refugees stuck in Turkey from entering the EU through borders with Greece and Bulgaria.</p> <p>The move prompted violent scenes at border crossings and evoked memories <br> of 2015, when thousands of people battered by wars in Syria and beyond made their way to Europe. Ghaith Abdul-Ahad was on the ground in Turkey as a group of migrants made a dash for the border.</p> <p><a href=""https://support.theguardian.com/uk/subscribe/weekly?promoCode=WWM62X"">Subscribe here</a><br></p>', 'publication': 'theguardian.com'}",False,pillar/news,News
